"bookId","status","bookname","rentedDate","rentedBy"
1,"rented","Selbstorganisation braucht Führung: Die einfachen Geheimnisse agilen Management",6/1/2018,"Lasse.Hacken@kfw.de"
2,"rented","The Leader's Guide to Radical Management: Reinventing the Workplace for the 21st Century",5/30/2018,"Max.Muster@kfw.de"
3,"rented","The Five Dysfunctions of a Team: A Leadership Fable (J-B Lencioni Series)",5/29/2018,"none"
4,"available","Drive: The Surprising Truth About What Motivates Us","none","none"
5,"available","Peopleware: Productive Projects and Teams","none","none"
6,"rented","Software in 30 Days: How Agile Managers Beat the Odds, Delight Their Customers, and Leave Competitors in the Dust",7/3/2018,"none"
7,"available","Monday Morning Leadership: 8 Mentoring Sessions You Can't Afford to Miss","none","none"
8,"available","Leaders Eat Last: Why Some Teams Pull Together and Others Don't","none","none"
9,"available","Management 3.0: Leading Agile Developers, Developing Agile Leaders","none","none"
10,"rented","Risiko: Wie man die richtigen Entscheidungen trifft (Gerd Gigerenzer)",6/5/2018,"none"
11,"rented","Start With Why: How Great Leaders Inspire Everyone To Take Action (Simon Sinek)",6/6/2018,"none"
12,"rented","Frag immer erst: warum: Wie Top-Firmen und Führungskräfte zum Erfolg inspirieren (Simon Sinek) ",6/7/2018,"none"
13,"rented","24 Work Hacks (Tim Mois)",1/30/2018,"Daniel.Diebisch@kfw.de"
14,"rented","Scrum – A Pocket Guide (Best Practice (Van Haren Publishing))",6/9/2018,"none"
15,"available","Agile Software Development with Scrum","none","none"
16,"rented","The Enterprise and Scrum",6/11/2018,"none"
17,"available","Agile Retrospectives: Making Good Teams Great (Pragmatic Programmers)","none","none"
18,"available","Coaching Agile Teams: A Companion for ScrumMasters, Agile Coaches, and Project Managers in Transition","none","none"
19,"available","Scrum Mastery: From Good To Great Servant-Leadership","none","none"
20,"available","Scrum Product Ownership: Balancing Value from the Inside Out","none","none"
21,"available","Agile Product Management with Scrum: Creating Products that Customers Love (Addison-Wesley Signature)","none","none"
22,"available","User Stories Applied: For Agile Software Development","none","none"
23,"rented","Agile Estimating and Planning",6/18/2018,"none"
24,"rented","Our Iceberg Is Melting: Changing and Succeeding Under Any Conditions (gibt`s auch auf Deutsch: ""Das Pinguin-Prinzip"")",6/19/2018,"none"
25,"rented","Leading Change: Wie Sie Ihr Unternehmen in acht Schritten erfolgreich verändern",6/20/2018,"none"
26,"available","Das Neue und seine Feinde: Wie Ideen verhindert werden und wie sie sich
trotzdem durchsetzen (Gunter Dueck)","none","none"
27,"available","Schwarmdumm: So blöd sind wir nur gemeinsam (Gunter Dueck)","none","none"
28,"rented","Reinventing Organizations: Ein Leitfaden zur Gestaltung sinnstiftender Formen
der Zusammenarbeit",6/23/2018,"none"
29,"rented","Holacracy: Ein revolutionäres Management-System für eine volatile Welt",6/24/2018,"none"
30,"available","The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to
Create Radically Successful Businesses","none","none"
31,"available","Games People Play: The Psychology of Human Relationships ","none","none"
32,"available","Das Café am Rande der Welt: Eine Erzählung über den Sinn des Lebens","none","none"
33,"available","How to Win Friends and Influence People","none","none"
34,"available","The Power of Habit: Why We Do What We Do, and How to Change","none","none"
35,"available","The 7 Habits Of Highly Effective People","none","none"
36,"available","Sei einzig, nicht artig!: So sagen Sie nie mehr ja, wenn Sie nein sagen wollen","none","none"
37,"available","Unterwegs im Internet der Dinge –die Welt der Logistik-","none","none"
38,"available","The Design of Everyday things","none","none"
39,"available","d.quarks Der Weg zum digitalen Unternehmen","none","none"
40,"available","Jahrbuch/Yearbook 2018 FIRM","none","none"
41,"available","Digital Wealth Management ","none","none"
42,"available","Trendradar_2030","none","none"
43,"rented","Die Zukunft der Arbeit",7/8/2018,"none"
44,"rented","Bericht der Bundesregierung zur Lebensqualität in Deutschland",7/9/2018,"none"
45,"rented","Gutachten zur Forschung, Innovation und Technologischer Leistungsfähigkeit Deutschlands",7/10/2018,"none"
46,"rented","Kompendiu, Industrie 4.0 –wie digitale Plattformen die Wirtschaft verändern- und wie die Politik gestalten kann",7/11/2018,"none"
47,"rented","Zeichen lernen für Kinder tolle Ideen und Papier",7/12/2018,"none"
48,"available","Werkheft 02 wie wir arbeiten (wollen)","none","none"
49,"rented","Weissbuch Arbeiten 4.0 Arbeiten weiter denken",7/14/2018,"none"
50,"rented","Jahrbuch 2015/2016 Innovation Schwerpunkt Consulting",7/15/2018,"none"
51,"rented","Graph Databases New Opportunities for connected Data",7/16/2018,"none"
52,"rented","Riding the waves of culuture understanding cultural diversity in Business",7/17/2018,"none"
53,"rented","Extreme Programming Pocket Guide",2/28/2018,"none"
54,"rented","Folienkrieg und Bullshitbingo –Handbuch für Unternehmensberater, Opfer und Angehörige-",7/19/2018,"none"
55,"rented","Design Thinking –in 30 Minuten wissen Sie mehr!",7/20/2018,"none"
56,"available","Knigge für Softwarearchitekten","none","none"
57,"available","Scrum Kompakt","none","none"
58,"available","Managing for Happiness","none","none"
59,"rented","The Lean Six Sigma Pocket Toolbook",7/24/2018,"none"
60,"rented","Drivers of change Reihe",7/25/2018,"none"
61,"rented","Arbeitsplatz der Zukunft –Die Blockenheimer Landstraße 1904 in Frankfurt am Main-",7/26/2018,"none"
62,"rented","The Mythical Man Math",7/27/2018,"none"
63,"available","Toolkit –Digitalisierung in Entwicklungszusammenarbeit und internationale Zusammenarbeit in Bildung, Kultur","none","none"
